url,name,rating,location,address,cuisines,cost_for_two,hours,facilities,phone_number_1,phone_number_2,phone_number_3,hours_int,hours_categorical,amount_cuisines,amount_facilities
https://www.zomato.com/jakarta/warung-omahe-pondok-aren-tangerang/info,Warung Omahe,3.4,Pondok Aren,"Jl. Beruang Raya No 7. Pondok Aren, Tangerang","Cafe,Fast Food,Beverages,Snacks",100000,Opens tomorrow at 9h,"Board Games,Indoor Seating,Smoking Area,Outdoor Seating,Praying Room,Wifi",+628111997990,,,9,Morning,4,6
https://www.zomato.com/jakarta/jp-bistro-aryaduta-jakarta-gambir/info,JP Bistro - Aryaduta Jakarta,3.2,Gambir,"Hotel Aryaduta Jakarta, Jl. Prapatan No. 44 - 48, Gambir, Jakarta","Indonesian,Western",600000,6h – 24h (Today),"Breakfast,Full Bar Available,Serves Cocktails,Wifi,Indoor Seating,Table booking recommended,Buffet,Desserts and Bakes",+622123521234,,,6,Morning,2,8
https://www.zomato.com/jakarta/skyloft-all-seasons-hotel-thamrin/info,SKYLOFT - All Seasons Hotel,3.9,Thamrin,"All Seasons Hotel, Lantai 14, Jl. Talang Betutu No. 2, Thamrin, Jakarta","Indonesian,Western",500000,6h – 23h (Today),"Breakfast,Wine and Beer,City View,Indoor Seating,Wifi,Outdoor Seating,Table booking recommended",+62213900010,,,6,Morning,2,7
https://www.zomato.com/jakarta/ayamayaman-bintaro/info,AyamAyaman,3.7,Bintaro,"Jl. Kesehatan Raya No. 28, Bintaro, Jakarta","Indonesian,Western",100000,24 Hours (Today),"Breakfast,Takeaway Available,Private Dining Area Available,Indoor Seating,Smoking Area,Praying Room",+628112092926,,,24,,2,6
https://www.zomato.com/jakarta/spatula-sentul-bogor/info,Spatula,4.2,Sentul,"Ruko Plaza Niaga 1, Blok B No. 3, Jl. MH. Thamrin, Sentul City, Sentul, Bogor","Italian,Western",170000,Opens tomorrow at 7h,"Breakfast,Home Delivery,Wifi,Indoor Seating,Table booking recommended",+622187962963,,,7,Morning,2,5
https://www.zomato.com/jakarta/bari-uma-ramen-sudirman/info,Bari-Uma Ramen,4.3,Sudirman,"Citywalk Sudirman, Lantai 1, Jl. KH Mas Mansyur, Sudirman, Jakarta","Ramen,Japanese",230000,Opens tomorrow at 10h,"Beer,Indoor Seating,Table booking recommended",+622129704018,,,10,Morning,2,3
https://www.zomato.com/jakarta/martabak-7fun-green-ville/info,Martabak 7fun,3.6,Green Ville,"Ruko Green Garden, Jl. Panjang, Green Ville, Jakarta","Street Food,Martabak",80000,16h – 23h (Today),"Takeaway Only,Desserts and Bakes",+6287888199925,,,16,Afternoon,2,2
https://www.zomato.com/jakarta/onokabe-pluit/info,Onokabe,4.0,Pluit,"Pluit Junction, Lantai Ground, Jl. Pluit Selatan Raya, Pluit, Jakarta",Japanese,300000,Opens tomorrow at 10h,"Indoor Seating,Table booking recommended",+622122669855,,,10,Morning,1,2
https://www.zomato.com/jakarta/restaurant-penang-muara-karang/info,Restaurant Penang,3.9,Muara Karang,"Jl. Pluit Karang Timur Blok O No. 27, Muara Karang, Jakarta",Malaysian,180000,7h – 24h (Today),"Breakfast,Home Delivery,Takeaway Available,Wifi,Indoor Seating,Table booking recommended",622166690565,622170766819,,7,Morning,1,6
https://www.zomato.com/jakarta/ombe-kofie-senopati/info,Ombe Kofie,4.4,Senopati,"Jl. Cikajang No. 63, Senopati, Jakarta","Coffee,Asian",150000,Opens tomorrow at 8h,"Takeaway Available,Indoor Seating,Smoking Area,Wifi",+628111751269,,,8,Morning,2,4
https://www.zomato.com/jakarta/mutiara-kota/info,Mutiara,3.9,Kota,"Pancoran Chinatown Point, Lantai 2, Jl. Pancoran No. 42A, Kota, Jakarta",Chinese,250000,Opens tomorrow at 9h,"Takeaway Available,Indoor Seating",+6281310659365,,,9,Morning,1,2
https://www.zomato.com/jakarta/the-peoples-cafe-2-pondok-aren-tangerang/info,The People's Cafe,3.6,Pondok Aren,"Bintaro Jaya Xchange Mall CBD, Lantai Lower Ground, Jl. Boulevard, Pondok Aren, Tangerang","Italian,Indonesian,Tea,Coffee",200000,Opens tomorrow at 10h,"Takeaway Available,Beer,Wifi,Indoor Seating,Table booking recommended",+62212762252,,,10,Morning,4,5
https://www.zomato.com/jakarta/bakso-mukidi-cakung/info,Bakso Mukidi,,Cakung,"Jl. Raya Pulo Gebang, Blok Nangka No. 1, Cakung, Jakarta",Bakso,50000,Opens tomorrow at 8h 30m,"Takeaway Available,Indoor Seating",Not available for this place,,,8,Morning,1,2
https://www.zomato.com/jakarta/shabugram-bogor-utara-bogor/info,Shabugram,3.3,Bogor Utara,"Jl. Raya Jakarta-Bogor No. 147, Bogor Utara, Bogor","Japanese,Coffee,Italian",250000,Opens tomorrow at 10h,"Home Delivery,Takeaway Available,Free Parking,Indoor Seating,Table booking recommended,Kid Friendly,Praying Room,Wifi,Vegetarian Friendly,Outdoor Seating,Smoking Area,Vegan Options",628111754200,628111104200,6285885836876.0,10,Morning,3,12
https://www.zomato.com/jakarta/puyo-silky-desserts-pasar-minggu/info,Puyo Silky Desserts,3.7,Pasar Minggu,"Pejaten Village, Lantai 1, Jl. Warung Jati Barat, Pasar Minggu",Desserts,40000,Opens tomorrow at 10h,"Takeaway Only,Desserts and Bakes",+628118771007,,,10,Morning,1,2
https://www.zomato.com/jakarta/bakmi-kepiting-tanjung-pura-kelapa-gading/info,Bakmi Kepiting Tanjung Pura,3.3,Kelapa Gading,"Jl. Boulevard Raya Blok FWI No. 24, Kelapa Gading, Jakarta",Bakmi,60000,Opens tomorrow at 10h,"Home Delivery,Takeaway Available,Smoking Area,Indoor Seating",+6282388012222,,,10,Morning,1,4
https://www.zomato.com/jakarta/bakmi-pik-pantai-indah-kapuk/info,Bakmi PIK,3.1,Pantai Indah Kapuk,"Fresh Market, Jl. Pantai Indah Kapuk Boulevard No. 29 - 30, Pantai Indah Kapuk, Jakarta","Chinese,Bakmi",100000,Opens tomorrow at 6h,"Breakfast,Home Delivery,Takeaway Available,Indoor Seating",+622198495416,,,6,Morning,2,4
https://www.zomato.com/jakarta/oh-my-taco-serpong-utara-tangerang/info,Oh My Taco,3.4,Serpong Utara,"Ruko Graha Boulevard, Jl. Gading Serpong Boulevard, Blok D No. 16, Serpong Utara, Tangerang 15810",Mexican,180000,11h – 23h (Today),"Takeaway Available,Beer,Wifi,Live Entertainment,Indoor Seating,Table booking recommended,Smoking Area,Outdoor Seating,Live Music,Serves Cocktails",+628119073030,,,11,Morning,1,10
https://www.zomato.com/jakarta/nasi-goreng-kambing-kebon-sirih-1958-nasgorkam-bonsir-1958-menteng/info,Nasi Goreng Kambing Kebon Sirih 1958 (Nasgorkam Bonsir 1958),4.0,Menteng,"Jl. Kebon Sirih Barat, Menteng, Jakarta",Jawa,120000,17h – 2h (Today),"Home Delivery,Takeaway Available,Outdoor Seating",62811190775,62811864011,622174702499.0,17,Afternoon,1,3
https://www.zomato.com/jakarta/baskin-robbins-bekasi-utara-bekasi/info,Baskin Robbins,3.7,Bekasi Utara,"Summarecon Mall Bekasi, Lantai Ground, Jl. Ahmad Yani, Bekasi Utara, Bekasi","Ice Cream,Desserts",130000,Opens tomorrow at 10h,"Takeaway Available,Indoor Seating,Desserts and Bakes",+6282208201331,,,10,Morning,2,3
https://www.zomato.com/jakarta/bakso-solo-senen/info,Bakso Solo,,Senen,"Plaza Kenari Mas, Lantai 4, Food Court, Jl. Kramat Raya No. 101, Senen, Jakarta","Bakso,Jawa",50000,Opens tomorrow at 10h,"Takeaway Available,Indoor Seating,Wifi",+622194200605,,,10,Morning,2,3
https://www.zomato.com/jakarta/salad-buah-petukangan-3-larangan-tangerang/info,Salad Buah Petukangan,,Larangan,"Jl. Kemajuan V, Larangan, Tangerang",Desserts,35000,Opens tomorrow at 9h,"Takeaway Only,Self Service",+6289618386856,,,9,Morning,1,2
https://www.zomato.com/jakarta/kisaku-melawai/info,KISAKU,,Melawai,"Pasaraya Grande, Jl. Iskandarsyah Raya No. 2, Melawai, Jakarta",Coffee,60000,Opens tomorrow at 8h,"Takeaway Available,Indoor Seating",+6281386250915,,,8,Morning,1,2
https://www.zomato.com/jakarta/unclebrew-kopi-feat-warmeals-pondok-gede-bekasi/info,UncleBrew Kopi Feat Warmeals,,Pondok Gede,"Jl. Raya Jatiwaringin No. 2, Pondok Gede, Bekasi","Tea,Desserts,Coffee",80000,9h – 23h (Today),"Takeaway Available,Indoor Seating,Wifi,Outdoor Seating,Praying Room,Smoking Area",+6281210165609,,,9,Morning,3,6
https://www.zomato.com/jakarta/mie-ayam-alek-kebon-jeruk/info,Mie Ayam Alek,2.1,Kebon Jeruk,"Jl. Meruya Ilir, Kebon Jeruk, Jakarta",Bakmi,100000,Opens tomorrow at 6h 30m,"Breakfast,Takeaway Available,Indoor Seating",+6281398553290,,,6,Morning,1,3
https://www.zomato.com/jakarta/kopi-kasmaran-4-cimanggis-depok/info,Kopi Kasmaran,,Cimanggis,"Jl. Tugu Raya, Cimanggis, Depok","Beverages,Coffee",50000,Opens tomorrow at 10h,"Takeaway Available,Indoor Seating",+6281513575820,,,10,Morning,2,2
https://www.zomato.com/jakarta/sosu-rice-sudirman/info,Sosu Rice,,Sudirman,"Plaza Semanggi, Lantai 3A, Jl. Jenderal Sudirman, Sudirman, Jakarta",Japanese,60000,Opens tomorrow at 10h,"Takeaway Available,Indoor Seating",+6289636911504,,,10,Morning,1,2
