Type,Title,Price,Location,Land Area,Bedroom,Bathroom,Car Space,Floor Level,Floor Area,Facing,Agency,Status,Status1,Status2,Status3
Condo,Fully Furnished Modern Studio Style For Sale,"$68,000","Boeung Tumpun 1, Meanchey, Phnom Penh",NaN,1,1,1,11,49m²,NaN,Global Property Services,For sale or rent
Condo,Mordern One Bedroom Condominium for Sale in BTP area,"$66,000","Boeung Tumpun, Meanchey, Phnom Penh",NaN,1,1,NaN,5,NaN,NaN,Global Property Services,For sale or rent
Land,"4 Bedroom Villa For Sale - Chroy Changvar, Phnom Penh","$2,000,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",800m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Shophouse,>>ផ្ទះអាជីវកម្ម គម្រោងថ្មីលក់ក្នុងតម្លៃពិសេសមិនធ្លាប់មាន!!!,"$185,000"," Prey Sa, Dangkao, Phnom Penh",88m²,4,5,NaN,NaN,176m²,E,GC Realty,For sale,Urgent Sale
Condo,"2 Bedroom Condo For Sale - Rose Condo, Tonle Bassac, Phnom Penh","$240,000"," Tonle Bassac, Chamkarmon, Phnom Penh",109m²,2,2,NaN,NaN,109m²,NaN,IPS Cambodia,For sale
NaN,Morgan Tower | Star Palace,POA," Mongkol Road Sopheak, Tonle Bassac, Chamkarmon, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"MORGANFORD INVESTMENT (Cambodia) CO.,LTD.",Luxury Property
Villa,Modern Villa toul kork,"$2,500,000","Boeung Kak 1, Toul Kork, Phnom Penh",NaN,7,7,3,NaN,NaN,NaN,Ah Mey,For sale or rent
House,"DAKA KUN REALTY: ផ្ទះលក់នៅលើផ្លូវក្រវ៉ាត់ក្រុង 22ម៉ែត្រ, ក្រុងសៀមរាប/House for Sale in Siem Reap-Svay Dangkum","$250,000"," Svay Dankum, Siem Reap, Siem Reap",NaN,2,2,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
Condo,Luxury Condo - Modern Civilization in Phnom Penh,"$444,000"," Tonle Bassac, Chamkarmon, Phnom Penh",5825m²,3,4,1,6,196m²,NaN,T'S HOME Real Estate,For sale
Condo,Luxury Condo - Modern Civilization in Phnom Penh,"$249,600"," Tonle Bassac, Chamkarmon, Phnom Penh",5825m²,2,2,1,6,78m²,NaN,T'S HOME Real Estate,For sale
Apartment,2 Bedroom Apartment For Sale-Odom- Phnom Penh,"$433,000"," Tonle Bassac, Chamkarmon, Phnom Penh",NaN,2,2,NaN,6,129m²,NaN,IPS Cambodia,For sale
Twin Villa,Twin Villa Conner Borey Ongkor Phmon Penh,"$515,000","32 64, Khmuonh, Sen Sok, Phnom Penh",NaN,4,5,1,NaN,NaN,N,GC Realty,For sale
Land,DaBest Properties: Land for Sale in​ Krong Siem Reap-Sangkat​ Sala Kamraeuk ,"$525,000","Sala Kamraeuk, Siem Reap, Siem Reap",700m²,NaN,NaN,NaN,NaN,NaN,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Villa,Queen Villa for Sale,"$17,500,000"," Nirouth, Chbar Ampov, Phnom Penh",550m²,5,6,2,3,144m²,NaN,GC Realty,For sale
Project,Morgan Enmaison | Smart Loft,"$70,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",NaN,1 to 2,NaN,NaN,NaN,55 to 83m²,NaN,"CAM-JIACHUANG REAL ESTATE CO.,LTD.",For sale,Luxury Property
Twin Villa,Link House LA for sale at Borey Chip Mong (The Park Land 598).,"$225,000","Svay Pak, Russey Keo, Phnom Penh",NaN,NaN,4,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Studio,Studio Sell $72000 TK (Negotiable),"$72,000","Boeung Kak 1, Toul Kork, Phnom Penh",NaN,1,1,NaN,5,37m²,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Shophouse,Shophouse for rent and sale,"$140,000","Nirouth, Chbar Ampov, Phnom Penh",NaN,5,4,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Shophouse,Shophouse for rent and sale at niroth,"$165,000","Nirouth, Chbar Ampov, Phnom Penh",NaN,5,4,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Shophouse,Shophouse for rent and sale at niroth,"$165,000","Nirouth, Chbar Ampov, Phnom Penh",NaN,NaN,4,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Twin Villa,Villa twin at Peng Hout Euro park for sale and rent project 8,"$370,000","Nirouth, Chbar Ampov, Phnom Penh",NaN,5,4,2,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Apartment,"4 Bedroom Penthouse For Sale - Chroy Changvar, Phnom Penh","$295,900"," Chroy Changvar, Chroy Changvar, Phnom Penh",161m²,4,5,NaN,23,161m²,NaN,IPS Cambodia,For sale
Condo,"2 Bedroom Condo Type C For Sale - Time Square 3, Toul Kork, Phnom Penh","$85,000"," Boeung Kak 1, Toul Kork, Phnom Penh",50m²,2,1,1,10,50m²,NaN,IPS Cambodia,For sale
Apartment,"Studio Condo For Sale - Rose Apple Square, Downtown Siem Reap","$195,200","Night Market Area , Svay Dankum, Siem Reap, Siem Reap",6000m²,1,1,1,6,72m²,NaN,IPS Cambodia,For sale
Apartment,"1 Bedroom Condo For Sale - Rose Apple Square, Downtown Siem Reap","$108,663","Night Market Area , Svay Dankum, Siem Reap, Siem Reap",6000m²,1,1,1,6,47m²,NaN,IPS Cambodia,For sale
Villa,"4 Bedroom Luxury Villa For Sale - Svay Dangkum, Siem Reap","$700,000","Svay Dankum, Siem Reap, Siem Reap",328m²,4,3,NaN,NaN,328m²,NaN,IPS Cambodia,For sale
Condo,"5 Bedroom Jaya B Duplex Unit With Rooftop For Sale - Angkor Grace Residence and Wellness Resort, Siem Reap","$396,000","Svay Dankum, Siem Reap, Siem Reap",295m²,4,4,NaN,NaN,295m²,NaN,IPS Cambodia,For sale
Condo,"2 Bedroom Jaya 1A Unit For Sale- Angkor Grace Residence and Wellness Resort, Siem Reap","$178,000","Svay Dankum, Siem Reap, Siem Reap",107m²,2,2,NaN,NaN,107m²,NaN,IPS Cambodia,For sale,Ready to Move In
Flat House,"4 Bedroom Flat House For Sale - Sangkat Olympic, Phnom Penh","$600,000"," Olympic, Chamkarmon, Phnom Penh",163m²,4,4,1,3,NaN,NaN,IPS Cambodia,For sale
Condo,"40th Floor-3 Bedroom Condo Unit For Sale - J Tower 2, Phnom Penh","$490,000"," BKK 1, Chamkarmon, Phnom Penh",153m²,3,3,1,40,153m²,NaN,IPS Cambodia,For sale
Villa,"4 Bedroom Villa For Sale - Bassac Garden City, Phnom Penh","$2,000,000"," Tonle Bassac, Chamkarmon, Phnom Penh",374m²,4,5,NaN,NaN,288m²,NaN,IPS Cambodia,For sale
Land,"DAKA KUN REALTY: ដីលក់លើផ្លូវធំ, ជិតរីសតភូមិបែតង-សៀមរាប/Land for Sale in Siem Reap",$330/m²,"Sangkat Sambuor, Siem Reap, Siem Reap",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd"
Land,"DAKA KUN REALTY: ដីលក់នៅលើផ្លូវធំ, ជិតផ្សារកន្ត្រក-សៀមរាប/Land for Sale on Main Road, Siem Reap",$450/m²," Sangkat Sambuor, Siem Reap, Siem Reap",980m²,NaN,NaN,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd"
Villa,DAKA KUN REALTY: ផ្ទះលក់បន្ទាន់មានអាងហែលទឹក ក្នុងក្រុងសៀមរាប/House for Sale in Siem Reap-Svay Dangkum,"$290,000","Svay Dankum, Siem Reap, Siem Reap",NaN,2,3,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
House,"DAKA KUN REALTY: ផ្ទះលក់នៅជិតមាត់ស្ទឹង, ក្រុងសៀមរាប/4 Bedrooms House for Sale in Siem Reap-Riverside","$460,000","Sla Kram, Siem Reap, Siem Reap",NaN,4,5,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
Twin Villa,Twin Villa For Rent/Sale PH The Star Diamond,"$430,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",165m²,4,5,2,3,72m²,NaN,GC Realty,For sale or rent
Apartment,Modern Villa toul kork,"$2,500,000","Boeung Kak 1, Toul Kork, Phnom Penh",NaN,7,7,1,NaN,NaN,NaN,Ah Mey,For sale or rent
Apartment,Modern Villa toul kork,"$2,500,000","Boeung Kak 1, Toul Kork, Phnom Penh",NaN,7,7,1,NaN,NaN,NaN,Ah Mey,For sale or rent
Flat House,"7 Bedroom Flat For Sale - Sala Kamreuk, Siem Reap","$600,000"," Sala Kamraeuk, Siem Reap, Siem Reap",904m²,7,8,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Villa,Villa for sale,"$1,150,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",600m²,5,6,NaN,NaN,NaN,NaN,"Amatak Property Services Co., Ltd",For sale
House,ផ្ទះល្វែងលក់ប្រញាប់នៅលើផ្លូវសូឡា (371),POA,"Stueng Mean chey 1, Meanchey, Phnom Penh",98m²,NaN,NaN,NaN,NaN,98m²,NaN,"Amatak Property Services Co., Ltd"
Land,Land for Sale at BKK1,"$8,475,000","BKK 1, Chamkarmon, Phnom Penh",1130m²,NaN,NaN,NaN,NaN,NaN,NaN,"Amatak Property Services Co., Ltd",For sale
Villa,"6 Bedroom Queen Villa For Sale - Teuk Thla, Phnom Penh","$850,000"," Tuek Thla, Sen Sok, Phnom Penh",330m²,6,9,NaN,NaN,150m²,NaN,Borey For Sale,For sale
Shophouse,"4 Bedroom Shophouse For Sale - Chip Mong 50M, Prey Sa, Phnom Penh","$250,000"," Prey Sa, Dangkao, Phnom Penh",97m²,4,5,1,3,67m²,NaN,Borey For Sale,For sale
Twin Villa,"4 Bedroom Twin Villa For Sale - Chankiri Palm Creek, Phnom Penh","$260,000"," Preaek Kampues, Dangkao, Phnom Penh",157m²,4,6,NaN,3,270m²,NaN,Borey For Sale,For sale
Villa,"3 Bedroom Linked Villa For Sale - Borey Peng Huoth, Phnom Penh","$180,000"," Nirouth, Chbar Ampov, Phnom Penh",71m²,3,4,NaN,NaN,38m²,NaN,Borey For Sale,For sale
House,"4 Bedroom Link House For Sale - Khmounh, Phnom Penh","$265,000"," Khmuonh, Sen Sok, Phnom Penh",106m²,4,5,NaN,3,216m²,NaN,Borey For Sale,For sale
Villa,"4 Bedroom Villa For Sale - Bassac Garden City, Phnom Penh","$2,000,000"," Tonle Bassac, Chamkarmon, Phnom Penh",374m²,4,5,NaN,NaN,288m²,NaN,Borey For Sale,For sale
House,"4 Bedroom Link House For Sale - Khmounh, Phnom Penh","$255,000"," Khmuonh, Sen Sok, Phnom Penh",93m²,4,5,NaN,3,64m²,NaN,Borey For Sale,For sale
House,"3 Bedroom House For Sale - Kandaek, Bakong District, Siem Reap","$145,000"," Kandaek, Prasat Bakong, Siem Reap",160m²,3,3,NaN,1,120m²,NaN,Borey For Sale,For sale
Condo,"2 Bedroom Condo Type A For Sale - Time Square 306, BKK1, Phnom Penh","$135,000"," BKK 1, Chamkarmon, Phnom Penh",950m²,2,2,1,8,60m²,NaN,IPS Cambodia,For sale
Condo,"2 Bedroom Condo For Sale - Koh Pich, Phnom Penh","$450,000"," Tonle Bassac, Chamkarmon, Phnom Penh",86m²,2,2,NaN,NaN,86m²,NaN,IPS Cambodia,For sale
Villa,DABEST PROPERTIES: Modern Villa for Sale in Krong Siem Reap-Svay Dangkum,"$545,000","Svay Dankum, Siem Reap, Siem Reap",425m²,4,5,NaN,NaN,NaN,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Land,"DAKA KUN REALTY: ដីលក់បន្ទាន់នៅជិតតុលាការខេត្ត, ក្រុងសៀមរាប/Land for Sale in Siem Reap-Chreav",$170/m²,"Chreav, Siem Reap, Siem Reap",1823m²,NaN,NaN,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd"
Land,"DAKA KUN REALTY: ដីលក់នៅជិតតុលាការខេត្ត, សៀមរាប/Land for Sale in Siem Reap-Chreav","$65,000","Chreav, Siem Reap, Siem Reap",306m²,NaN,NaN,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
Land,"DAKA KUN REALTY: ដីលក់នៅជិតរីសតភូមិបៃតង, ក្រុងសៀមរាប/Land for Sale in Siem Reap",$280/m²,"Sangkat Sambuor, Siem Reap, Siem Reap",840m²,NaN,NaN,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd"
Twin Villa,"វីឡាភ្លោះលក់នៅបុរីប៊្លូដាយមិន,ជ្រោយចង្វារ","$650,000","Preaek Ta Sek, Chroy Changvar, Phnom Penh",420m²,NaN,NaN,NaN,NaN,NaN,NaN,"Amatak Property Services Co., Ltd",For sale
Villa,វិឡាទោលលក់ប្រញាប់នៅបុរីML (ព្រែកជ្រៃ),"$245,000","Spean Thma, Dangkao, Phnom Penh",231m²,NaN,NaN,NaN,NaN,NaN,NaN,"Amatak Property Services Co., Ltd",For sale
Villa,វីឡានិងហាងអាជីវកម្មកែងលក់បន្ទាន់!,"$465,000","Kakab 1, Por Sen Chey, Phnom Penh",269m²,NaN,NaN,NaN,NaN,NaN,NaN,"Amatak Property Services Co., Ltd",For sale
Flat House,GC Realty: Flat For Sale with under market price located in Boeng Keng Kang,"$380,000","7 23, BKK 1, Chamkarmon, Phnom Penh",NaN,5,6,NaN,NaN,NaN,NaN,GC Realty,For sale,Urgent Sale
Villa,"2 Bedroom Villa For Sale - Chreav, Siem Reap","$500,000","Chreav, Siem Reap, Siem Reap",1072m²,2,3,NaN,2,NaN,NaN,IPS Cambodia,For sale
Apartment,One bedroom sale $66k Chamkarmon ToulTumpoung,"$66,000"," Toul Tum Poung 1, Chamkarmon, Phnom Penh",NaN,1,1,NaN,10,50m²,NaN,CENTURY 21 REGENT REALTY,For sale,Ready to Move In
Land,"DAKA KUN REALTY: ដីលក់នៅក្រោយពន្ធដារ, ក្រុងសៀមរាប/Land for Sale in Siem Reap-Svay Dangkum","$403,200"," Svay Dankum, Siem Reap, Siem Reap",960m²,NaN,NaN,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
Land,DAKA KUN REALTY: Land for Sale in Siem Reap-Sambuor,"$68,000","Sangkat Sambuor, Siem Reap, Siem Reap",146m²,NaN,NaN,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
Land,"DAKA KUN REALTY: ដីលក់នៅលើផ្លូវក្រវ៉ាត់ក្រុងពីរ ផ្លូវធំ, ក្រុងសៀមរាប/Land for Sale in Siem Reap",$270/m²,"Chreav, Siem Reap, Siem Reap",1012m²,NaN,NaN,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd"
House,DAKA KUN REALTY: House for Sale in Siem Reap-Sala Kamreuk,"$250,000","Sala Kamraeuk, Siem Reap, Siem Reap",NaN,4,5,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
House,DAKA KUN REALTY: House for Sale in Siem Reap - Sla Kram,"$145,000","Sla Kram, Siem Reap, Siem Reap",NaN,3,4,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
House,DaBesst Properties: វីឡាបែបអឺរ៉ុបសម្រាប់លក់ក្នុងក្រុងសៀមរាប-Private Villa for Sale in Siem Reap- Sala Kamraeuk ,"$700,000","Sala Kamraeuk, Siem Reap, Siem Reap",2317m²,4,4,NaN,NaN,NaN,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
House,"3-Storey Shophouse For Sale - The Eco Residence Sen Sok, Phnom Penh","$134,000"," Krang Thnong, Sen Sok, Phnom Penh",90m²,3,4,NaN,3,189m²,NaN,IPS Cambodia,For sale
Condo,"3 Bedroom Jaya 2A Unit With Rooftop For Sale - Angkor Grace Residence and Wellness Resort, Siem Reap","$226,000"," Svay Dankum, Siem Reap, Siem Reap",22000m²,3,2,NaN,2,201m²,NaN,IPS Cambodia,For sale
Apartment,"2 Bedroom Condo For Sale - Rose Apple Square, Siem Reap","$195,200","Night Market Area , Svay Dankum, Siem Reap, Siem Reap",6000m²,2,1,1,6,72m²,NaN,IPS Cambodia,For sale
House,"6 Bedroom Villa for Sale - Teuk Thla, Phnom Penh","$3,300,000"," Tuek Thla, Sen Sok, Phnom Penh",1824m²,6,6,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
House,DABEST PROPERTIES: 3 Bedroom House for with Swimming pool Sale in Siem Reap-Svay Dangkum,"$270,000","Dabest Properties, Svay Dankum, Siem Reap, Siem Reap",440m²,3,3,2,NaN,98m²,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Villa,"4 Bedroom Villa With Pool For Sale - Svay Dangkum, Siem Reap","$545,000","Svay Dankum, Siem Reap, Siem Reap",425m²,4,5,3,NaN,NaN,NaN,IPS Cambodia,For sale,Luxury Property
Condo,"1 Bedroom Jaya B Unit For Sale - Angkor Grace Residence and Wellness Resort, Siem Reap","$198,000","Svay Dankum, Siem Reap, Siem Reap",112m²,1,2,NaN,NaN,112m²,NaN,IPS Cambodia,For sale
Condo,"2 Bedroom Jaya A Unit Angkor Grace Residence and Wellness Resort, Siem Reap","$198,000","Svay Dankum, Siem Reap, Siem Reap",91m²,2,2,NaN,NaN,112m²,NaN,IPS Cambodia,For sale
Land,ដី-ផ្ទះលក់តម្លៃសមរម្យនៅជាប់ផ្លូវធំ(271),"$980,000","Boeung Tumpun, Meanchey, Phnom Penh",242m²,NaN,NaN,NaN,NaN,NaN,NaN,"Amatak Property Services Co., Ltd",For sale
Land,ដីលក់តម្លៃសមរម្យក្រោយផ្សារបែកចាន,"$860,000","Angk Snuol, Kandal",10156m²,NaN,NaN,NaN,NaN,NaN,NaN,"Amatak Property Services Co., Ltd",For sale
Condo,New project condo for sale,"$30,000","Wat Phnom, Daun Penh, Phnom Penh",NaN,1,1,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,New project condo for sale,"$30,000","Wat Phnom, Daun Penh, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,New project condo for sale,"$80,000","BKK 1, Chamkarmon, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Land,Big Land lot for sale in Orkidē The Botanic City project ,"$285,000"," Preaek Ta Sek, Chroy Changvar, Phnom Penh",560m²,NaN,NaN,NaN,NaN,NaN,NaN,Chhoun Vikchay,For sale,Price Negotiable
Condo,"DAKA KUN REALTY: ខុនដូទំនើបលក់ក្នុងក្រុងសៀមរាប, សង្កាត់ស្វាយដង្គុំ​/Condo for Sale in Siem Reap-Svay Dangkum","$170,000","Svay Dankum, Siem Reap, Siem Reap",121m²,3,3,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
House,DAKA KUN REALTY: 3 Bedrooms House for Sale in Siem Reap-Sala Kamreuk,"$80,000","Sala Kamraeuk, Siem Reap, Siem Reap",115m²,3,5,NaN,NaN,56m²,NaN,"Daka Kun Realty Co.,Ltd",For sale
Condo,"The Peak,3 bedroom Apartment for Rent/Sale","$450,000","Tonle Bassac, Chamkarmon, Phnom Penh",NaN,3,3,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,"The Peak,3 bedroom Apartment for Rent/Sale","$450,000","Tonle Bassac, Chamkarmon, Phnom Penh",NaN,NaN,3,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Villa,Villa Rent $6000 sell 2.5M TK (Negotiable）,"$2,500,000","Boeung Kak 1, Toul Kork, Phnom Penh",NaN,9,7,NaN,4,600m²,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Apartment,Duplex 3-Bedrooms Sale $1500.000 negotiable,"$1,500,000"," Tonle Bassac, Chamkarmon, Phnom Penh",NaN,3,3,NaN,31,383m²,NaN,CENTURY 21 REGENT REALTY,For sale
Condo,Special project in BKK1 1600$/sqm,"$84,375","BKK 1, Chamkarmon, Phnom Penh",NaN,1,1,1,NaN,50m²,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,2 Bedroom for Sale,"$190,000"," Veal Vong, 7 Makara, Phnom Penh",NaN,2,2,NaN,NaN,NaN,NaN,TH Real Estate Agent,For sale or rent
Condo,Condo 2 bedroom urgent sale,"$190,000"," Veal Vong, 7 Makara, Phnom Penh",NaN,2,2,NaN,NaN,NaN,NaN,TH Real Estate Agent,For sale or rent,Urgent Sale
Condo,The best condominium is on Monyvong Blvd,"$50,000","Tonle Bassac, Chamkarmon, Phnom Penh",17000m²,1,1,NaN,NaN,NaN,NaN,Ah Mey,For sale or rent
Villa,Nice Villa for rent and location good,"$13,000,000","BKK 1, Chamkarmon, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Land,DAKA KUN REALTY: Land for Sale in Siem Reap - Svay Dangkum,$300/m²,"Svay Dankum, Siem Reap, Siem Reap",306m²,NaN,NaN,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd"
Twin Villa,Twin Villa Urgent Sale In Borey Peng Hout The Star Premier.,"$280,000"," Chrang Chamres I, Russey Keo, Phnom Penh",168m²,4,5,NaN,NaN,NaN,NaN,Rentex Property Services,For sale,Urgent Sale
Twin Villa,🏘Twin Villa For Sale In Borey Chip Mong The Park Land.,"$380,000"," Chrang Chamres 2, Russey Keo, Phnom Penh",207m²,4,4,3,NaN,NaN,NaN,Rentex Property Services,For sale,Urgent Sale
Land,Land For Sale On The Main Road Number 2 Kampung Speu Province,"$859,380"," Traeng Trayueng, Phnum Sruoch, Kampong Speu",14323m²,NaN,NaN,NaN,NaN,NaN,NaN,T'S HOME Real Estate,For sale
Villa,Nice Villa for sale,"$320,000","Preaek Lieb, Chroy Changvar, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Land,land for Sale at the Best Area around 5minustes from Svay Chrup Ferry Port,"$3,410,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",6200m²,NaN,NaN,NaN,NaN,NaN,NaN,T'S HOME Real Estate,For sale
Condo,Modern style available three bedroom for sale,"$1,500,000","Tonle Bassac, Chamkarmon, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,New style condo for sale,"$57,000","Chroy Changvar, Chroy Changvar, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,Condo for sale at 60m,"$70,000","Chak Angrae Leu, Meanchey, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
House,DAKA KUN REALTY: House for Sale in Siem Reap-Svay Dangkum,"$185,000","Svay Dankum, Siem Reap, Siem Reap",NaN,4,5,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
House,"DAKA KUN REALTY: ផ្ទះលក់នៅភូមិគ្រួស, ជាប់ផ្លូវធំ 15 ម៉ែត្រ, ក្រុងសៀមរាប/House for Sale in Siem Reap-Svay Dangkum","$1,400,000","Svay Dankum, Siem Reap, Siem Reap",NaN,6,7,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
Condo,"Duplex Penthouse 3-Bedroom Condominium for Sale in front of AEON Mall 1, Tonle Bassac","$1,500,000"," Tonle Bassac, Chamkarmon, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale
Twin Villa,Villa for sale and rant,"$5,000,000","BKK 1, Chamkarmon, Phnom Penh",NaN,25,23,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,"Duplex Penthouse 3-Bedroom Condominium for Sale in front of AEON Mall 1, Tonle Bassac","$1,500,000","Tonle Bassac, Chamkarmon, Phnom Penh",NaN,3,3,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
House,Big house for Rent with good loacation in takmaov ,"$125,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale
House,DAKA KUN REALTY: House for Sale in Siem Reap-Chreav,"$250,000","Chreav, Siem Reap, Siem Reap",353m²,3,4,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
House,DAKA KUN REALTY: House for Sale in Siem Reap-Chreav,"$130,000","Chreav, Siem Reap, Siem Reap",NaN,2,3,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
House,DAKA KUN REALTY: House for Sale in Siem Reap-Svay Dangkum,"$170,000","Svay Dankum, Siem Reap, Siem Reap",NaN,3,4,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
House,DAKA KUN REALTY: 3 Bedrooms House for Sale in Siem Reap-Svay Dangkum,"$130,000","Svay Dankum, Siem Reap, Siem Reap",NaN,3,3,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
Condo,Brand new condo for sale,"$55,000","Tonle Bassac, Chamkarmon, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,𝐔𝐫𝐠𝐞𝐧𝐭 𝐒𝐚𝐥𝐞𝐬! 𝐋𝐨𝐰𝐞𝐬𝐭 𝐏𝐫𝐢𝐜𝐞! New furnished Studio Room Condo in City Center for Sale at lost at Lower than market price,"$53,000"," Phsar Depou I, Toul Kork, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale
Condo,New project condo for sale,"$28,000","Wat Phnom, Daun Penh, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,New project condo for sale,"$40,000","Wat Phnom, Daun Penh, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,New brand condo for sale,"$45,000","Toul Tum Poung 1, Chamkarmon, Phnom Penh",NaN,1,1,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,New project condo for sale,"$40,000","Wat Phnom, Daun Penh, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,Condo for rent and sale,"$70,000","Chroy Changvar, Chroy Changvar, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Villa,Villa for rent and sale at Tuol kok,"$2,500,000","Boeung Kak 1, Toul Kork, Phnom Penh",NaN,7,9,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,DABEST PROPERTIES: 3 Bedroom Condo for Sale with Tonle Sap and City View- in Phnom Penh Chroy Changvar,"$337,704","Properties Dabest, Chroy Changvar, Chroy Changvar, Phnom Penh",NaN,3,3,1,10,163m²,S/W,"DaBest Properties Cambodia Co., Ltd",For sale,Ready to Move In
Condo,DABEST CONDOS: Brand New 2Bedroom Luxury Condo for Re-Sale at Peninsula Private Residences,"$395,050","Chroy Changvar, Chroy Changvar, Phnom Penh",NaN,2,2,1,14,119m²,N,"DaBest Properties Cambodia Co., Ltd",For sale
