Type,Title,Price,Location,Land Area,Bedroom,Bathroom,Car Space,Floor Level,Floor Area,Facing,Agency,Status,Status1,Status2,Status3
Land," 2173 Sqm Land For Sale - Night Market Area, Siem Reap","$1,086,500"," Siem Reap, Siem Reap, Siem Reap",2173m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Serviced Apartment,Two bedroom for rent at Borey PH National road 1,"$80,000","Nirouth, Chbar Ampov, Phnom Penh",NaN,2,2,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Land,"260 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$120,000"," Svay Dankum, Siem Reap, Siem Reap",260m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"480 Sqm Residential Land For Sale - Kandaek, Siem Reap","$50,000"," Siem Reap, Siem Reap, Siem Reap",480m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"687 Sqm Residential Land For Sale - Sala Kamreuk, Siem Reap","$206,100"," Nokor Thum, Siem Reap, Siem Reap",687m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"52227 Sqm Residential Land For Sale - Damdek, Siem Reap","$365,589"," Siem Reap, Siem Reap, Siem Reap",52227m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1000 Sqm Land For Sale - Sisophon, Banteay Meanncheay","$580,000"," Kampong Svay, Serei Saophoan, Banteay Meanchey",1000m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 4692 Sqm Land For Sale - Chreav, Siem Reap","$389,436"," Chreav, Siem Reap, Siem Reap",4692m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"452 Sqm Land For Sale - Nokor Thum, Siem Reap","$110,000"," Siem Reap, Siem Reap, Siem Reap",452m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"4390 Sqm Residential Land For Sale - Chreav, Siem Reap","$219,500"," Chreav, Siem Reap, Siem Reap",4390m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,450 Sqm Land For Sale - Kampot Province,"$89,550"," Andoung Khmer, Kampot, Kampot",450m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 278 Sqm Residential Land For Sale - Chreav, Siem Reap","$65,000"," Chreav, Siem Reap, Siem Reap",278m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"200 Sqm Residential Land For Sale - Kouk Chak, Siem Reap","$95,000"," Siem Reap, Siem Reap, Siem Reap",200m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 240 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$62,000"," Svay Dankum, Siem Reap, Siem Reap",240m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"200 sq.m Land For Sale - Chreav, Siem Reap","$15,000"," Chreav, Siem Reap, Siem Reap",200m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 1533 Sqm Residential Land For Sale - Slor Kram, Siem Reap","$398,580"," Siem Reap, Siem Reap, Siem Reap",1533m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"218 Sqm Land For Sale - Kandek, Siem Reap","$130,000"," Siem Reap, Siem Reap, Siem Reap",218m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"675 Sqm Land For Sale - Svay Dangkum, Siem Reap","$168,750"," Svay Dankum, Siem Reap, Siem Reap",675m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 200 Sqm Land for Sale - Chreav, Siem Reap ","$28,000"," Chreav, Siem Reap, Siem Reap",200m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"119 Sqm Land For Sale - Sra Ngae, Siem Reap","$15,000"," Siem Reap, Siem Reap, Siem Reap",119m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,Land and House for Sale in Siem Reap- Wat Svay Area,"$120,000"," Siem Reap, Siem Reap, Siem Reap",145m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"214 Sqm Residential Land For Sale - Chreav, Siem Reap","$50,000"," Chreav, Siem Reap, Siem Reap",214m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"2,500 sq.m. Land For Sale - Sra Ngae, Siem Reap","$50,000"," Siem Reap, Siem Reap, Siem Reap",2500m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 7709 Sqm Residential Land For Sale - Chreav, Siem Reap","$1,002,170"," Chreav, Siem Reap, Siem Reap",7709m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"200 Sqm Land For Sale - Uddong, Kampong Speu Province","$12,000"," Chan Saen, Odongk, Kampong Speu",200m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 1270 Sqm Residential Land For Sale - Sala Kamreuk, Siem Reap","$635,000"," Siem Reap, Siem Reap, Siem Reap",1270m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"6,688 sq.m. Land For Sale In Kampong Chhnang Province","$1,000,000"," Kampong Cham, Kampong Cham, Kampong Cham",6688m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"5.7 Ha Land For Sale - Ta Khmau, Kandal","$31,596,400"," Ta Khmao, Ta Khmau, Kandal",57448m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"33,224 sq.m. Land For Sale - Takhmao, Kandal","$23,256,800"," Ta Khmao, Ta Khmau, Kandal",33224m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"5,825 sq.m Commercial Land For Sale - Tonle Bassac, Phnom Penh","$32,037,500"," Tonle Bassac, Chamkarmon, Phnom Penh",5825m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"567 Sqm Land For Sale - Khan Meanchey, Phnom Penh ","$1,300,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",567m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1054 Sqm Residential Land For Sale - Sangkat Siem Reap, Siem Reap","$94,860"," Siem Reap, Siem Reap, Siem Reap",1054m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"297 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$120,000"," Siem Reap, Siem Reap, Siem Reap",297m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"117 Sqm Land For Sale - Slor Kram, Siem Reap","$85,000"," Sla Kram, Siem Reap, Siem Reap",117m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,390 sqm. LAND + 3 Bedroom Villa For Sale - Svay Dangkum,"$195,000"," Svay Dankum, Siem Reap, Siem Reap",390m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"2 Bedroom Villa For Sale - Chreav, Siem Reap","$144,200"," Chreav, Siem Reap, Siem Reap",440m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"166 Sqm Corner Land For Sale - Tonle Bassac, Phnom Penh ","$1,300,000"," Tonle Bassac, Chamkarmon, Phnom Penh",166m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
